category,correct_response,game,value,clue
CAILFORNIA,the legs,"Show #1634 - Thursday, October 10, 1991",200,"Phlebitis, an inflammation of veins, usually affects these extremities"
DECORATIVE ARTS,Levi Strauss,"Show #1634 - Thursday, October 10, 1991",200,You can trace the history of blue jeans at this company's museum in San Francisco
FOREIGN WORDS & PHRASES,the Forbidden City,"Show #1634 - Thursday, October 10, 1991",200,A 9 dragon screen carved in bas-relief can be seen in this once-taboo section of Beijing
"""SMITH"" & ""JONES""",Il Duce,"Show #1634 - Thursday, October 10, 1991",200,"Benito Mussolini took this title meaning ""the leader"""
MEDIEVAL EUROPE,Grace Jones,"Show #1634 - Thursday, October 10, 1991",200,"Arnold Schwarzenegger said this actress injured 12 people while filming ""Conan the Destroyer"""
SAINTS,Jessica Savitch,"Show #1630 - Friday, October 4, 1991",500,"This network anchorwoman who died in 1983 is the subject of a biography called ""Golden Girl"""
MAXIMS & MOTTOS,St. Thomas More,"Show #1630 - Friday, October 4, 1991",500,"At his 1535 execution on Tower Hill, he called himself ""The king's good servant, but God's first"""
POETS & POETRY,taste,"Show #1630 - Friday, October 4, 1991",500,"The Romans first said, ""De gustibus non est disputandum"" meaning ""There is no disputing about"" this"
FOOD FACTS,Iron Bars,"Show #1630 - Friday, October 4, 1991",200,"Richard Lovelace wrote, ""Stone walls do not a prison make, nor"""
SPORTS,Christopher Columbus,"Show #1630 - Friday, October 4, 1991",200,"This man's expeditionary flag bore the initials ""F & Y"" for Ferdinand & Ysabel"
BIOGRAPHIES,Feather,"Show #1630 - Friday, October 4, 1991",200,"These are made up of a racus, barbules, barbs & a quill"
SAINTS,Victoria,"Show #1630 - Friday, October 4, 1991",200,"She became a queen in 1837 after her uncle, King William IV, died"
MAXIMS & MOTTOS,Niagara Falls,"Show #1630 - Friday, October 4, 1991",200,"Father Louis L'Enfant, who accompanied LaSalle, was the first white man to view these falls in 1678"
POETS & POETRY,Eddie Murphy,"Show #1630 - Friday, October 4, 1991",200,"This ""Saturday Night Live"" star made his movie debut in ""48 HRS"""
FOOD FACTS,"""Casey at the Bat""","Show #1630 - Friday, October 4, 1991",400,"In this poem, there are two out, two on base, and the score is:  Opponents, 4"
SPORTS,The Alamo,"Show #1630 - Friday, October 4, 1991",400,San Antonio's flag features this landmark pictured on a lone star
BIOGRAPHIES,2,"Show #1630 - Friday, October 4, 1991",400,Houseflies & tsetse flies are true flies & have this many wings
THE HUMAN BODY,a (six-pointed) star shape,"Show #1634 - Thursday, October 10, 1991",300,"Unlike regular checkers, Chinese checkers is played on this shape board"
CAILFORNIA,farsightedness,"Show #1634 - Thursday, October 10, 1991",300,"Hyperopia, the opposite of myopia, is commonly called this"
DECORATIVE ARTS,Anaheim,"Show #1634 - Thursday, October 10, 1991",300,Disney has announced plans to build a WESTCOT Park next to Disneyland in this city
FOREIGN WORDS & PHRASES,lace,"Show #1634 - Thursday, October 10, 1991",300,Alencon is a needlepoint type of this delicate openwork fabric
"""SMITH"" & ""JONES""",,"Show #1634 - Thursday, October 10, 1991",300,"French for ""false step"", it's another way of saying blunder or gaffe"
MEDIEVAL EUROPE,Roger Smith,"Show #1634 - Thursday, October 10, 1991",300,"""77 Sunset Strip"" actor who now manages wife Ann-Margret's career"
THE HUMAN BODY,Mediterranean,"Show #1634 - Thursday, October 10, 1991",400,"In Monopoly it's the first property after ""Go"""
CAILFORNIA,muscle,"Show #1634 - Thursday, October 10, 1991",400,"The stapedius, the smallest of these, controls the stapes, the smallest bone"
DECORATIVE ARTS,the Napa Valley,"Show #1634 - Thursday, October 10, 1991",400,"Inglenook, Cakebread Cellars & Stag's Leap Wine Cellars are in this valley famous for wine"
FOREIGN WORDS & PHRASES,(Louis Comfort) Tiffany,"Show #1634 - Thursday, October 10, 1991",400,"This American known for his Art Nouveau lamps developed an iridescent glass which he called ""Favrile"""
"""SMITH"" & ""JONES""",,"Show #1634 - Thursday, October 10, 1991",400,"This 2nd-highest honors distinction at graduation is Latin for ""with great praise"""
MEDIEVAL EUROPE,Quincy Jones,"Show #1634 - Thursday, October 10, 1991",400,He organized USA for Africa with Harry Belafonte & Ken Kragen
THE HUMAN BODY,a finesse,"Show #1634 - Thursday, October 10, 1991",500,"In bridge, an attempt to take a trick with a low card while holding on to a higher one is called this"
CAILFORNIA,the thyroid,"Show #1634 - Thursday, October 10, 1991",,This butterfly-shaped gland straddles the windpipe just behind the Adam's apple
SAINTS,Dueling,"Show #1630 - Friday, October 4, 1991",400,"In 1839, 35 years after Alexander Hamilton died, Congress made this illegal in the District of Columbia"
MAXIMS & MOTTOS,Hudson Bay,"Show #1630 - Friday, October 4, 1991",400,This Canadian bay has the longest shoreline of any bay
POETS & POETRY,Sean Penn,"Show #1630 - Friday, October 4, 1991",400,"This actor debuted in ""Taps"" before going on to marry Madonna"
FOOD FACTS,William Shakespeare,"Show #1630 - Friday, October 4, 1991",600,"One of his sonnets begins, ""My mistress' eyes are nothing like the sun"""
SPORTS,Fleur-de-Lis,"Show #1630 - Friday, October 4, 1991",600,"Though the French flag no longer features these flower designs, the flag of the province of Quebec does"
BIOGRAPHIES,Hemoglobin,"Show #1630 - Friday, October 4, 1991",600,Hemolysis is the release of this protein pigment from blood cells
SAINTS,Anthracite,"Show #1630 - Friday, October 4, 1991",600,"In 1837 in Machunk, Pennsylvania, this kind of coal was used to smelt iron for the first time"
MAXIMS & MOTTOS,Manila Bay,"Show #1630 - Friday, October 4, 1991",600,The island of Corregidor guards the entrance to this Phillippine bay
POETS & POETRY,Mark Hamill,"Show #1630 - Friday, October 4, 1991",600,"His voice debuted in ""Wizards"", but his face was first seen as Luke Skywalker in ""Star Wars"""
FOOD FACTS,Richard Cory,"Show #1630 - Friday, October 4, 1991",,"Edwin Arlington Robinson character who ""one calm summer night, went home and put a bullet through his head"""
SPORTS,Green,"Show #1630 - Friday, October 4, 1991",800,"Iraq's flag consists of stripes of red, white & black & three stars of this color"
BIOGRAPHIES,Mushrooms,"Show #1630 - Friday, October 4, 1991",,"Coral, horse, oyster & parasol are types of this fungus"
SAINTS,William Lloyd Garrison,"Show #1630 - Friday, October 4, 1991",800,"This Boston abolitionist began publication of ""The Liberator"" in 1831"
MAXIMS & MOTTOS,Snake River,"Show #1630 - Friday, October 4, 1991",800,This largest tributary of the Columbia River rises in Yellowstone National Park
DECORATIVE ARTS,Pismo Beach,"Show #1634 - Thursday, October 10, 1991",500,You can drive your car legally on the beach in this California town famous for its clams
FOREIGN WORDS & PHRASES,wool,"Show #1634 - Thursday, October 10, 1991",500,"Historically, this was the material most commonly used for tapestries"
"""SMITH"" & ""JONES""",Sanskrit,"Show #1634 - Thursday, October 10, 1991",500,"Referring to the sacred books of Hinduism, ""Veda"" means knowledge in this classical language"
MEDIEVAL EUROPE,Margaret Chase Smith,"Show #1634 - Thursday, October 10, 1991",500,She was a teacher before becoming the first woman to serve in both the House & Senate
THE HUMAN BODY,the Vikings,"Show #1634 - Thursday, October 10, 1991",200,In 1014 Brian Boru defeated these seafaring Scandinavians & ended their domination of Ireland
CAILFORNIA,,"Show #1634 - Thursday, October 10, 1991",200,This novel opens at the wedding of Prizzi's granddaughter
DECORATIVE ARTS,a ream,"Show #1634 - Thursday, October 10, 1991",200,"A quire, or 25 sheets, of paper is 1/20 of this measure"
FOREIGN WORDS & PHRASES,Everest,"Show #1634 - Thursday, October 10, 1991",200,"Until this peak was scaled in 1953, Annapurna was the highest mountain climbed"
"""SMITH"" & ""JONES""",the hula,"Show #1634 - Thursday, October 10, 1991",200,Laka is the patron deity of this Hawaiian dance
MEDIEVAL EUROPE,Lincoln,"Show #1634 - Thursday, October 10, 1991",200,"In 1833 he was named postmaster of New Salem, Illinois"
THE HUMAN BODY,the Byzantine Empire,"Show #1634 - Thursday, October 10, 1991",400,"Constantine XI, the last ruler of this empire, died fighting the Turks in 1453"
POETS & POETRY,Bo Derek,"Show #1630 - Friday, October 4, 1991",800,"Her debut performance in ""Orca"" , in which a killer whale chomped off her leg, didn't rate a ""10"""
FOOD FACTS,Edward Fitzgerald,"Show #1630 - Friday, October 4, 1991",1000,"This Englishman published his translation of ""The Rubyyat"" anonymously in 1859"
SPORTS,Malta,"Show #1630 - Friday, October 4, 1991",1000,"Oddly enough, the cross in the corner of this Mediterranean island's flag is not the one named for it"
BIOGRAPHIES,Agar,"Show #1630 - Friday, October 4, 1991",1000,This jelling agent prepared from seaweed is often used to grow microorganisms
SAINTS,Lake Itasca,"Show #1630 - Friday, October 4, 1991",1000,In 1832 an expedition led by Henry Schoolcraft discovered the source of the Mississippi at this Minnesota lake
MAXIMS & MOTTOS,Yemen,"Show #1630 - Friday, October 4, 1991",1000,The Gulf of Aden separates Somalia and this country on the Arabian Peninsula
POETS & POETRY,"""Julia""","Show #1630 - Friday, October 4, 1991",1000,"Meryl Streep debuted in this 1977 adaptation of Lillian Hellmann's ""Pentimento"""
CAILFORNIA,Sacagawea,"Show #1634 - Thursday, October 10, 1991",400,"Chapter 11 of Anna Lee Waldo's historical novel about this woman is titled ""Lewis and Clark"""
DECORATIVE ARTS,decibels,"Show #1634 - Thursday, October 10, 1991",400,A noisy office registers about 60 of these units
FOREIGN WORDS & PHRASES,Simon Bolivar,"Show #1634 - Thursday, October 10, 1991",400,"The largest state in Venezuela is named for this man, the country's liberator"
"""SMITH"" & ""JONES""",,"Show #1634 - Thursday, October 10, 1991",,1975 Broadway musical in which dancers sang 
MEDIEVAL EUROPE,Truman,"Show #1634 - Thursday, October 10, 1991",400,"After his haberdashery failed in 1922, it took him 3 years to pay back creditors"
THE HUMAN BODY,mead,"Show #1634 - Thursday, October 10, 1991",600,"By the end of the Middle Ages, this fermented honey drink was replaced by wine in many regions"
CAILFORNIA,Stephen King,"Show #1634 - Thursday, October 10, 1991",600,"Part I of his book ""Christine"" is called ""Dennis - Teenage Car Songs"""
DECORATIVE ARTS,a horsepower,"Show #1634 - Thursday, October 10, 1991",600,This is defined as the power needed to lift 550 pounds 1 foot in 1 second
FOREIGN WORDS & PHRASES,Galilee,"Show #1634 - Thursday, October 10, 1991",600,Israel's northernmost region; Jesus spent most of his life there
"""SMITH"" & ""JONES""",the barre (or bar),"Show #1634 - Thursday, October 10, 1991",600,The name of this horizontal handrail found in a ballet studio can be spelled with 5 letters or 3
MEDIEVAL EUROPE,Lyndon Johnson,"Show #1634 - Thursday, October 10, 1991",600,In 1935 he was appointed director of the National Youth Administration in Texas
THE HUMAN BODY,Canterbury,"Show #1634 - Thursday, October 10, 1991",800,"Before becoming the see of the archbishops, this city was capital of the kings of Kent"
CAILFORNIA,Manhattan,"Show #1634 - Thursday, October 10, 1991",800,"Judith Krantz called her 1986 best seller ""I'll Take"" this"
DECORATIVE ARTS,12,"Show #1634 - Thursday, October 10, 1991",800,There are not 16 but this many troy ounces in a troy pound
FOREIGN WORDS & PHRASES,Rio de Janeiro,"Show #1634 - Thursday, October 10, 1991",800,2 of this South American city's most popular beaches are Copacabana & Ipanema
"""SMITH"" & ""JONES""",the fandango,"Show #1634 - Thursday, October 10, 1991",800,"""Fan""s of this Spanish dance know its name is slang for a ball or dance in the American Southwest"
MEDIEVAL EUROPE,Theodore Roosevelt,"Show #1634 - Thursday, October 10, 1991",,"While attending Harvard, he was runner-up for the campus lightweight boxing championship"
THE HUMAN BODY,Gothic,"Show #1634 - Thursday, October 10, 1991",1000,The Perpendicular style was the last phase of this architectural style in England
CAILFORNIA,Australia,"Show #1634 - Thursday, October 10, 1991",1000,"Colleen McCullough's novel ""The Ladies of Missalonghi"" is set in the Blue Mountains of this country"
DECORATIVE ARTS,grams,"Show #1634 - Thursday, October 10, 1991",1000,A metric ton contains 1 million of these metric units
FOREIGN WORDS & PHRASES,Chile,"Show #1634 - Thursday, October 10, 1991",1000,The world's largest deposit of sodium nitrate is found in the Atacama Desert in this country
"""SMITH"" & ""JONES""",the Hopis,"Show #1634 - Thursday, October 10, 1991",1000,These Indians do their annual snake dance in August; it's closed to non-Indians
MEDIEVAL EUROPE,Grover Cleveland,"Show #1634 - Thursday, October 10, 1991",1000,"As sheriff of Erie County, N.Y. he personally sprang the trap on 2 murderers"
WORLD HISTORY,Jimi Hend rix,"Show #2757 - Tuesday, September 3, 1996",100,"Handwritten lyrics on display include Chuck Berry's ""School Days"" & his ""Purple Haze"""
FASHION,Napoleon,"Show #2757 - Tuesday, September 3, 1996",100,"In 1785 this future French emperor graduated from military school in Paris, 42nd in his class of 58"
BIBLICAL FIRSTS,tartans (or plaids),"Show #2757 - Tuesday, September 3, 1996",100,Lumberjack shirts & kilts feature these designs
NOTORIOUS,Noah,"Show #2757 - Tuesday, September 3, 1996",100,He's the first person in the Bible to build a ship
"CROSSWORD CLUES ""A""",Oswald,"Show #2757 - Tuesday, September 3, 1996",100,He was an employee of the Texas School Book Depository when he shot JFK from its 6th floor
PHYSICIANS,anger,"Show #2757 - Tuesday, September 3, 1996",100,Ire (5)
WORLD HISTORY,,"Show #2757 - Tuesday, September 3, 1996",200,"Jann Wenner, editor & publisher of this magazine, is 1 of 26 on the Hall's board of trustees"
FASHION,The ,"Show #2757 - Tuesday, September 3, 1996",200,Barons & churchmen drew up this 1215 document to reduce the power of England's King John
BIBLICAL FIRSTS,Egypt,"Show #2757 - Tuesday, September 3, 1996",200,What's considered the finest cotton in the world is grown in & named for this country
NOTORIOUS,to multiply,"Show #2757 - Tuesday, September 3, 1996",200,"God's first instructions to human beings were ""be fruitful and"" do this"
"CROSSWORD CLUES ""A""",(Charles) Manson,"Show #2757 - Tuesday, September 3, 1996",200,"He established a commune for his ""family"" on the Spahn Ranch outside Los Angeles"
PHYSICIANS,astro,"Show #2757 - Tuesday, September 3, 1996",200,Type of turf for the Jetson's dog (5)
WORLD HISTORY,David Bowie,"Show #2757 - Tuesday, September 3, 1996",300,"Known for playing Ziggy Stardust, he donated a plaster cast of his face for the mannequins representing him"
FASHION,Cortes,"Show #2757 - Tuesday, September 3, 1996",300,In 1519 he & his men landed at Tabasco & began the Spanish conquest of Mexico
BIBLICAL FIRSTS,a poncho,"Show #2757 - Tuesday, September 3, 1996",300,"Worn by South American Indians for centuries, it's square, has a hole in the middle & doubles as a blanket"
NOTORIOUS,Samson,"Show #2757 - Tuesday, September 3, 1996",300,This strongman told the first riddle; it concerned a honey-filled lion
"CROSSWORD CLUES ""A""",Alcatraz,"Show #2757 - Tuesday, September 3, 1996",300,"Alvin ""Creepy"" Karpis holds the record for time served on this ""rock"" — 28 years"
PHYSICIANS,abracadabra,"Show #2757 - Tuesday, September 3, 1996",300,Magician's mantra (11)
WORLD HISTORY,I.M. Pei,"Show #2757 - Tuesday, September 3, 1996",400,"He said, ""In designing this building, it was my intention to echo the energy of rock and roll"""
FASHION,Addis Ababa,"Show #2757 - Tuesday, September 3, 1996",400,In 1936 Italy conquered this Ethiopian capital & Haile Selassie fled to Great Britain
BIBLICAL FIRSTS,swallow-tails,"Show #2757 - Tuesday, September 3, 1996",400,"Men's tails are also known by this longer, avian name"
NOTORIOUS,Abel,"Show #2757 - Tuesday, September 3, 1996",,Rachel is the first shepherdess mentioned & he's the first shepherd
"CROSSWORD CLUES ""A""","George ""Bugsy"" Moran","Show #2757 - Tuesday, September 3, 1996",400,"The St. Valentine's Day Massacre broke the power of this Chicago gangster nicknamed ""Bugs"""
PHYSICIANS,afternoon,"Show #2757 - Tuesday, September 3, 1996",400,"Time ""of a faun"" (9)"
WORLD HISTORY,Sun,"Show #2757 - Tuesday, September 3, 1996",500,Equipment used by Sam Phillips to record Elvis Presley is on exhibit in a tribute to this record company
FASHION,(Admiral) Byrd,"Show #2757 - Tuesday, September 3, 1996",500,In this mid-1930s this U.S. naval officer chartered the Edsel Ford mountains in Antarctica
BIBLICAL FIRSTS,the Brooks Brothers,"Show #2757 - Tuesday, September 3, 1996",500,"Famous for their seeksucker suits, these New York brothers made the frock coat Lincoln wore to Ford's Theatre"
NOTORIOUS,Jacob,"Show #2757 - Tuesday, September 3, 1996",500,This disguised man was the first person to kiss someone in the Bible; he kissed his father
"CROSSWORD CLUES ""A""",Trotsky,"Show #2757 - Tuesday, September 3, 1996",500,"Ramon Mercader, who killed this Russian in Mexico in 1940, died in Havana in 1978"
PHYSICIANS,Amahl,"Show #2757 - Tuesday, September 3, 1996",500,"""The Night Visitors'"" visitee (5)"
BIRD TV,Huckleberry Finn,"Show #2571 - Monday, November 6, 1995",100,"This boy was ""lawless, and vulgar and bad"" & Tom Sawyer ""was under strict orders not to play with him"""
TRAVEL & TOURISM,Sesame Street,"Show #2571 - Monday, November 6, 1995",100,It's Big Bird's boulevard
THE BIBLE,good wood,"Show #2571 - Monday, November 6, 1995",100,Above-average balsa or oak
POTPOURRI,Adam,"Show #2571 - Monday, November 6, 1995",100,"Man's first job was as a gardener, as God told him to dress & keep the garden of Eden"
WORLD CITIES,Stephen Foster,"Show #2571 - Monday, November 6, 1995",100,"This U.S. composer was born July 4, 1826 to William Barclay Foster, a Pennsylvania merchant"
BIRD TV,David Copperfield,"Show #2571 - Monday, November 6, 1995",200,Charles Dickens considered calling this title character Spankle or Copperboy
TRAVEL & TOURISM,,"Show #2571 - Monday, November 6, 1995",200,Robert Blake had a pet cockatoo named Fred on this detective series
THE BIBLE,a deep sleep,"Show #2571 - Monday, November 6, 1995",200,A heavy & unbroken slumber
POTPOURRI,"""In""","Show #2571 - Monday, November 6, 1995",200,"The last word in the King James Version Old Testament is ""curse"" & this is the first word"
WORLD CITIES,a rose,"Show #2571 - Monday, November 6, 1995",200,"The ""peace"", introduced in 1945, is one of the most famous hybrid tea varieties of this flower"
BIRD TV,Jane Eyre,"Show #2571 - Monday, November 6, 1995",300,This Bronte heroine uses the pseudonym Jane Elliott after she flees from Mr. Rochester
TRAVEL & TOURISM,,"Show #2571 - Monday, November 6, 1995",300,The Pigeon sisters were Oscar & Felix' nutty English neighbors on this classic sitcom
THE BIBLE,the chief thief,"Show #2571 - Monday, November 6, 1995",300,The principal pickpocket
POTPOURRI,the Romans,"Show #2571 - Monday, November 6, 1995",300,"In the New Testament order, Paul's first epistle goes to this group, not friends or countrymen"
WORLD CITIES,The Department of Agriculture,"Show #2571 - Monday, November 6, 1995",300,"Founded in 1862, this government department that deals with farmers was given cabinet status in 1889"
BIRD TV,Sherlock Holmes,"Show #2571 - Monday, November 6, 1995",400,"This detective was modeled in part on Dr. Joseph Bell, one of Arthur Conan Doyle's teachers"
TRAVEL & TOURISM,the Penguin,"Show #2571 - Monday, November 6, 1995",400,"Burgess Meredith said he developed the ""Quack, Quack"" noise this ""bird"" brain made to cover a cough"
CLASSIC SITCOMS,the Dow Jones,"Show #2541 - Monday, September 25, 1995",100,"On Black Monday, October 19, 1987, this industrial average fell more than 22.5%"
THE BIBLE,barn yarn,"Show #2571 - Monday, November 6, 1995",400,Exaggerated tale about a farm structure
POTPOURRI,frogs,"Show #2571 - Monday, November 6, 1995",400,During the second plague these amphibians came out of the water
BIRD TV,Lady Chatterley,"Show #2571 - Monday, November 6, 1995",500,"This D.H. Lawrence ""lady"" plays around with a playwright before she gambols with a gamekeeper"
TRAVEL & TOURISM,,"Show #2571 - Monday, November 6, 1995",500,In 1981 creator Earl Hamner uncorked this series about a winery whose symbol was a bird of prey
THE BIBLE,a major wager,"Show #2571 - Monday, November 6, 1995",500,An all-important bet
POTPOURRI,John the Baptist,"Show #2571 - Monday, November 6, 1995",,"Jesus said ""Among those born of women there is not a greater prophet than"" this man of the wilderness"
BIRD TV,Venice,"Show #2571 - Monday, November 6, 1995",200,The main traffic artery of this Italian city's historic section is the Grand Canal
TRAVEL & TOURISM,Wayne Gretzky,"Show #2571 - Monday, November 6, 1995",200,"On March 23, 1994 he scored his 802nd NHL goal, breaking Gordie Howe's career record"
RHYME TIME,,"Show #2571 - Monday, November 6, 1995",200,"In a famous fairy tale ballet, a ragged beggarwoman is really this heroine's fairy godmother"
THE BIBLE,George Washington,"Show #2571 - Monday, November 6, 1995",200,"On July 4, 1798 he became the only former president named commander-in-chief of American forces"
POTPOURRI,lamb,"Show #2571 - Monday, November 6, 1995",200,A rack of this meat usually contains 6-8 ribs & is served with mint jelly
WORLD CITIES,DNA,"Show #2571 - Monday, November 6, 1995",200,"Deoxyribonucleic acid, the genetic material of all cells is better known by this abbreviation"
ANNUAL EVENTS,,"Show #2541 - Monday, September 25, 1995",100,"The lyric ""The Professor and Mary Ann"" was added later to this series' theme song"
ASTROLOGY,Labor Day,"Show #2541 - Monday, September 25, 1995",100,In 1894 Grover Cleveland set this holiday as the first Monday in September
WORLD CITIES,Aries,"Show #2541 - Monday, September 25, 1995",100,Some astrologers call people born under this sign Arians
DOUBLE TALK,Cairo,"Show #2541 - Monday, September 25, 1995",100,This Egyptian city is the most populous in Africa & the Middle East
HISTORY,a tutu,"Show #2541 - Monday, September 25, 1995",100,It skirts the issue if the issue happens to be a ballerina
CLASSIC SITCOMS,ibuprofen,"Show #2541 - Monday, September 25, 1995",200,In 1984 this painkiller found in Advil was approved for over-the-counter sale in the U.S.
ANNUAL EVENTS,Fred (Mertz),"Show #2541 - Monday, September 25, 1995",200,"William Frawley played Bub O'Casey on ""My Three Sons"" & this role on ""I Love Lucy"""
ASTROLOGY,Reagan,"Show #2541 - Monday, September 25, 1995",200,In 1985 this president proclaimed August 26 as Women's Equality Day
WORLD CITIES,Pisces,"Show #2541 - Monday, September 25, 1995",200,People born under this sign of the fishes are known for their generosity
DOUBLE TALK,Calcutta,"Show #2541 - Monday, September 25, 1995",200,"A monument at St. John's Church in this Indian city remembers the victims of the ""black hole"""
HISTORY,a no-no,"Show #2541 - Monday, September 25, 1995",200,Something forbidden or unacceptable is one of these
CLASSIC SITCOMS,Argentina,"Show #2541 - Monday, September 25, 1995",300,This country occupied the Falkland Islands for about 10 weeks in 1982
ANNUAL EVENTS,,"Show #2541 - Monday, September 25, 1995",300,"The pilot for this sitcom was called ""Head of the Family"" & starred Carl Reiner as Rob Petrie"
ASTROLOGY,Annie Oakley,"Show #2541 - Monday, September 25, 1995",300,"Greenville, Ohio holds an annual celebration honoring this female sharpshooter"
WORLD CITIES,Sagittarius,"Show #2541 - Monday, September 25, 1995",300,"This sign of the archer is ruled by Jupiter, which astrologers believe is a friendly planet"
COLORS,Delilah,"Show #2543 - Wednesday, September 27, 1995",100,"After 3 attempts, she discovered the secret of Samson's strength & betrayed him to the Philistines"
BIRD TV,Montreal,"Show #2571 - Monday, November 6, 1995",400,The old part of this Quebec city borders the St. Lawrence River between Berri & McGill streets
TRAVEL & TOURISM,Bjorn Borg,"Show #2571 - Monday, November 6, 1995",400,In 1987 this 31-year-old Swede was inducted into the International Tennis Hall of Fame
RHYME TIME,,"Show #2571 - Monday, November 6, 1995",400,The swan maidens in this 1877 ballet are actually young girls under the spell of an evil magician
THE BIBLE,Grover Cleveland,"Show #2571 - Monday, November 6, 1995",400,"This president was named for the Reverend Stephen Grover of Caldwell, New Jersey"
POTPOURRI,Hollandaise sauce,"Show #2571 - Monday, November 6, 1995",400,This sauce that tops Eggs Benedict is also good on artichokes
WORLD CITIES,lava,"Show #2571 - Monday, November 6, 1995",400,It's the term for molten rock flowing from a volcano or other fissure in the Earth's surface
BIRD TV,Lisbon,"Show #2571 - Monday, November 6, 1995",600,The most picturesque part of this Portuguese capital is the Alfama along the Tagus River
TRAVEL & TOURISM,Mickey Mantle,"Show #2571 - Monday, November 6, 1995",600,"In 1956 this late Yankee hit 52 home runs, the highest single-season total of the 1950s"
RHYME TIME,,"Show #2571 - Monday, November 6, 1995",600,"Quasimodo is a leading character in ""La Esmeralda"", a ballet based on this classic novel"
THE BIBLE,Thomas Jefferson,"Show #2571 - Monday, November 6, 1995",600,"During his administration, the slave trade was abolished & the Louisiana Territory was purchased"
POTPOURRI,squid,"Show #2571 - Monday, November 6, 1995",600,Order fried calamari in a restaurant & you'll get this seafood
WORLD CITIES,typhoon,"Show #2571 - Monday, November 6, 1995",600,"The name of this violent tropical cyclone of the Western Pacific comes from Cantonese for ""Big Wind"""
BIRD TV,Baghdad,"Show #2571 - Monday, November 6, 1995",800,"The name of this Iraqi capital is Persian for ""God-given"""
TRAVEL & TOURISM,the Pittsburgh Steelers,"Show #2571 - Monday, November 6, 1995",800,"In 1979 & 1980 Terry Bradshaw, this team's quarterback, was named Super Bowl MVP"
DOUBLE TALK,Seville,"Show #2541 - Monday, September 25, 1995",300,"Home to an operatic barber, this Spanish city was once called Hispalis"
HISTORY,"water, water","Show #2541 - Monday, September 25, 1995",300,"In ""The Rime of the Ancient Mariner"", it was ""everywhere, nor any drop to drink"""
CLASSIC SITCOMS,(Ross) Perot,"Show #2541 - Monday, September 25, 1995",400,This Texan sold his Electronic Data Systems to General Motors for $2.5 billion
ANNUAL EVENTS,Theodore,"Show #2541 - Monday, September 25, 1995",400,"On ""Leave it to Beaver"", it was Beaver's real first name"
ASTROLOGY,the Calgary Stampede,"Show #2541 - Monday, September 25, 1995",400,"In 1912 American Guy Weadick organized this annual Calgary, Alberta rodeo"
WORLD CITIES,Virgo,"Show #2541 - Monday, September 25, 1995",400,One symbol of this sign is a harvest maiden holding a sheaf of wheat
DOUBLE TALK,Ho Chi Minh City,"Show #2541 - Monday, September 25, 1995",400,"When Vietnam was reunified in 1976, Saigon was renamed this"
HISTORY,Chi-Chi,"Show #2541 - Monday, September 25, 1995",400,Famous Puerto Rican golf pro Rodriguez
CLASSIC SITCOMS,Saudi Arabia,"Show #2541 - Monday, September 25, 1995",500,"In 1982, Fahd succeeded Khalid as king of this country"
ANNUAL EVENTS,dentist,"Show #2541 - Monday, September 25, 1995",500,"It was the occupation of Jerry Robinson on ""The Bob Newhart Show"""
ASTROLOGY,Grant Wood,"Show #2541 - Monday, September 25, 1995",500,"An annual Iowa art festival is named for this ""American Gothic"" artist, one of the state's native sons"
SCIENCE,blue,"Show #2543 - Wednesday, September 27, 1995",100,"Shades of this color include powder, sapphire & navy"
POP MUSIC,iron,"Show #2543 - Wednesday, September 27, 1995",100,Ferrovanadium is an alloy of vanadium & this metal
STATE CAPITALS,The Osmonds,"Show #2543 - Wednesday, September 27, 1995",100,"As this group, Donny & his brothers had only one No. 1 record in the U.S.: ""One Bad Apple"" in 1971"
FOREIGN WORDS & PHRASES,Providence,"Show #2543 - Wednesday, September 27, 1995",100,"This Rhode Island city has almost twice the population of Warwick, the state's second largest city"
HISTORY,eggs,"Show #2543 - Wednesday, September 27, 1995",100,The Spanish term for these scrambled items is huevos revueltos
COLORS,Queen of Sheba,"Show #2543 - Wednesday, September 27, 1995",200,This queen gave Solomon 120 talents of gold & other precious items
SCIENCE,grey,"Show #2543 - Wednesday, September 27, 1995",200,Battleship is a tint of this color
POP MUSIC,hooves,"Show #2543 - Wednesday, September 27, 1995",200,The horny casing of the toes of ungulates is called this
STATE CAPITALS,Billy Joel,"Show #2543 - Wednesday, September 27, 1995",200,"""Piano Man"", released in 1973, was his first successful album"
FOREIGN WORDS & PHRASES,Boston,"Show #2543 - Wednesday, September 27, 1995",200,"On July 4, 1831 ""America"" was first sung at this city's Park Street Church at the foot of Beacon HIll"
HISTORY,"""How much does it cost?""","Show #2543 - Wednesday, September 27, 1995",200,"When shopping in Lisbon, you may want to ask, ""Quanto custa?"", which means this"
COLORS,Moses,"Show #2543 - Wednesday, September 27, 1995",300,"Miriam & Aaron criticized this man, their brother, for marrying an Ethiopian"
TV NOSTALGIA,the Greek alphabet,"Show #1837 - Tuesday, September 8, 1992",100,"The Book of Revelation equates Christ with alpha & omega, the first and last letters of this alphabet"
RHYME TIME,Agnes De Mille,"Show #2571 - Monday, November 6, 1995",800,"In 1992, this niece of Cecil B. De Mille choreographed her last ballet ""The Other"""
THE BIBLE,Lyndon Johnson,"Show #2571 - Monday, November 6, 1995",800,"In 1971 he published ""The Vantage Point: Perspectives of the Presidency, 1963-1969"""
